date,outlet,category,item,hour,units,unit_price_gbp,payment_method
2025-11-01,Library Cafe,Coffee,Latte,9,1,3.15,Card
2025-11-01,Library Cafe,Coffee,Flat White,9,1,3.06,Card
2025-11-01,Library Cafe,Coffee,Flat White,9,1,3.25,Card
2025-11-01,Library Cafe,Tea,Earl Grey,12,1,2.55,Card
2025-11-01,Library Cafe,Coffee,Espresso,9,1,2.15,Card
2025-11-01,Library Cafe,Coffee,Americano,7,1,3.04,Card
2025-11-01,Library Cafe,Food,Pastry,11,1,3.02,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,8,2,3.38,Card
2025-11-01,Library Cafe,Tea,Earl Grey,12,1,2.49,Card
2025-11-01,Library Cafe,Tea,English Breakfast,12,1,2.38,Card
2025-11-01,Library Cafe,Tea,Earl Grey,12,1,2.78,Card
2025-11-01,Library Cafe,Coffee,Espresso,12,1,2.18,Card
2025-11-01,Library Cafe,Food,Salad,11,1,5.18,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,9,1,3.34,Card
2025-11-01,Library Cafe,Food,Pastry,10,1,3.15,Card
2025-11-01,Library Cafe,Coffee,Espresso,8,1,2.07,Card
2025-11-01,Library Cafe,Coffee,Flat White,7,2,3.29,Cash
2025-11-01,Library Cafe,Tea,English Breakfast,11,1,2.35,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,7,1,3.2,Cash
2025-11-01,Library Cafe,Tea,Green Tea,13,2,2.84,Card
2025-11-01,Library Cafe,Tea,Earl Grey,12,1,2.74,Card
2025-11-01,Library Cafe,Food,Fruit Pot,14,2,3.17,Card
2025-11-01,Library Cafe,Tea,Green Tea,12,1,2.61,Card
2025-11-01,Library Cafe,Coffee,Americano,12,1,3.04,Card
2025-11-01,Library Cafe,Tea,Earl Grey,13,1,2.79,Card
2025-11-01,Library Cafe,Coffee,Flat White,7,1,3.36,Card
2025-11-01,Library Cafe,Coffee,Flat White,11,1,3.16,Card
2025-11-01,Library Cafe,Coffee,Flat White,9,1,3.15,Card
2025-11-01,Library Cafe,Tea,Green Tea,9,1,2.61,Card
2025-11-01,Library Cafe,Coffee,Latte,10,1,3.5,Card
2025-11-01,Library Cafe,Coffee,Espresso,12,1,2.19,Card
2025-11-01,Library Cafe,Coffee,Espresso,8,1,2.44,Card
2025-11-01,Library Cafe,Tea,Earl Grey,12,1,2.64,Card
2025-11-01,Library Cafe,Coffee,Americano,11,1,3.02,Card
2025-11-01,Library Cafe,Coffee,Flat White,8,1,3.49,Card
2025-11-01,Library Cafe,Tea,Earl Grey,11,1,2.62,Card
2025-11-01,Library Cafe,Coffee,Americano,9,1,2.95,Card
2025-11-01,Library Cafe,Coffee,Flat White,10,1,3.27,Card
2025-11-01,Library Cafe,Food,Sandwich,13,1,4.33,Card
2025-11-01,Library Cafe,Coffee,Flat White,11,1,3.48,Card
2025-11-01,Library Cafe,Food,Salad,15,1,5.42,Card
2025-11-01,Library Cafe,Coffee,Espresso,7,1,2.19,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,9,1,3.18,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,8,2,3.42,Card
2025-11-01,Library Cafe,Coffee,Flat White,8,1,3.17,Cash
2025-11-01,Library Cafe,Tea,Earl Grey,10,1,2.47,Card
2025-11-01,Library Cafe,Tea,English Breakfast,8,1,2.55,Cash
2025-11-01,Library Cafe,Coffee,Latte,10,1,3.5,Card
2025-11-01,Library Cafe,Coffee,Cappuccino,11,1,3.29,Card
2025-11-01,Library Cafe,Coffee,Espresso,13,1,2.19,Card
2025-11-01,Library Cafe,Food,Pastry,13,1,2.9,Card
2025-11-01,Library Cafe,Coffee,Espresso,7,1,2.4,Card
2025-11-01,Library Cafe,Food,Salad,11,1,5.02,Card
2025-11-01,Law School Cafe,Coffee,Cappuccino,7,1,3.11,Card
2025-11-01,Law School Cafe,Tea,Herbal Tea,11,2,2.89,Card
2025-11-01,Law School Cafe,Tea,Earl Grey,12,2,2.41,Card
2025-11-01,Law School Cafe,Coffee,Americano,9,1,2.99,Card
2025-11-01,Law School Cafe,Coffee,Espresso,13,1,2.1,Card
2025-11-01,Law School Cafe,Coffee,Cappuccino,8,1,3.39,Card
2025-11-01,Law School Cafe,Coffee,Espresso,8,2,2.13,Card
2025-11-01,Law School Cafe,Coffee,Flat White,9,1,3.06,Card
2025-11-01,Law School Cafe,Tea,English Breakfast,13,1,2.5,Card
2025-11-01,Law School Cafe,Coffee,Flat White,10,2,3.1,Card
2025-11-01,Law School Cafe,Coffee,Flat White,10,2,3.29,Card
2025-11-01,Law School Cafe,Food,Salad,12,1,5.03,Card
2025-11-01,Law School Cafe,Tea,Green Tea,12,1,2.8,Card
2025-11-01,Law School Cafe,Food,Fruit Pot,11,1,3.09,Cash
2025-11-01,Law School Cafe,Food,Pastry,9,1,3.08,Card
2025-11-01,Law School Cafe,Coffee,Flat White,8,1,3.2,Card
2025-11-01,Law School Cafe,Tea,Earl Grey,8,1,2.53,Card
2025-11-01,Law School Cafe,Food,Sandwich,13,1,4.64,Card
2025-11-01,Law School Cafe,Coffee,Latte,11,2,3.38,Card
2025-11-01,Law School Cafe,Coffee,Flat White,10,1,3.36,Card
2025-11-01,Law School Cafe,Coffee,Espresso,12,1,2.1,Card
2025-11-01,Law School Cafe,Food,Soup,9,1,4.11,Card
2025-11-01,Law School Cafe,Food,Fruit Pot,13,1,3.33,Card
2025-11-01,Law School Cafe,Food,Fruit Pot,15,1,3.31,Card
2025-11-01,Law School Cafe,Coffee,Latte,13,1,3.22,Card
2025-11-01,Law School Cafe,Coffee,Latte,9,1,3.13,Card
2025-11-01,Law School Cafe,Coffee,Latte,11,1,3.27,Card
2025-11-01,Law School Cafe,Coffee,Americano,10,1,2.84,Card
2025-11-01,Law School Cafe,Tea,English Breakfast,13,1,2.64,Card
2025-11-01,Law School Cafe,Coffee,Cappuccino,11,1,3.18,Card
2025-11-01,Law School Cafe,Food,Fruit Pot,10,2,3.12,Card
2025-11-01,Law School Cafe,Coffee,Americano,11,1,2.91,Card
2025-11-01,Law School Cafe,Coffee,Flat White,11,1,3.46,Card
2025-11-01,Law School Cafe,Food,Sandwich,14,1,4.36,Card
2025-11-01,Law School Cafe,Coffee,Cappuccino,10,1,3.4,Card
2025-11-01,Law School Cafe,Tea,Herbal Tea,7,1,2.59,Card
2025-11-01,Law School Cafe,Coffee,Espresso,7,1,2.29,Card
2025-11-01,Law School Cafe,Tea,Earl Grey,10,1,2.68,Card
2025-11-01,Law School Cafe,Tea,Herbal Tea,11,1,2.9,Card
2025-11-01,Law School Cafe,Food,Sandwich,8,1,4.37,Card
2025-11-01,Law School Cafe,Coffee,Americano,7,1,2.92,Card
2025-11-01,Law School Cafe,Food,Salad,12,1,5.35,Card
